epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36289,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,6.39297,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64602,1.06035,1.37351,1.11146e-06,1.11146e-06,1.11146e-06
3,9.56919,1.16025,3.63382,1.57327,0.55956,0.85,0.85066,0.61611,1.66683,1.06109,1.3792,2.06584e-06,2.06584e-06,2.06584e-06
4,12.8458,1.27822,2.74175,1.38903,0.56027,0.85,0.84952,0.61586,1.66116,1.05362,1.37806,2.86314e-06,2.86314e-06,2.86314e-06
5,15.6695,1.37496,3.0933,1.72844,0.56556,0.85,0.85526,0.63771,1.66005,1.04123,1.37186,3.50336e-06,3.50336e-06,3.50336e-06
6,18.7683,1.04139,1.66355,1.33182,0.56358,0.85,0.8913,0.63929,1.66277,1.04725,1.36984,3.9865e-06,3.9865e-06,3.9865e-06
7,21.9175,1.15102,1.59938,1.33496,0.60887,0.85,0.86871,0.63959,1.61177,1.03299,1.33942,4.31256e-06,4.31256e-06,4.31256e-06
8,24.9311,0.74587,2.18983,1.16598,0.60716,0.85,0.85814,0.6281,1.63938,1.03142,1.35371,4.48154e-06,4.48154e-06,4.48154e-06
9,27.9575,0.74421,1.33004,1.01656,0.6157,0.85,0.85884,0.62804,1.63384,1.0313,1.35105,4.49344e-06,4.49344e-06,4.49344e-06
10,31.5032,0.99215,1.60809,1.39102,0.62006,0.85,0.85997,0.6282,1.62155,1.03235,1.34482,4.34826e-06,4.34826e-06,4.34826e-06
11,35.0999,0.8724,1.5302,1.19561,0.62885,0.85,0.85989,0.62809,1.60079,1.0253,1.33459,4.046e-06,4.046e-06,4.046e-06
12,38.2223,0.93448,1.66326,1.38147,0.631,0.85,0.85989,0.62828,1.59185,1.02422,1.32988,3.58666e-06,3.58666e-06,3.58666e-06
13,41.6095,1.2575,1.86671,1.35735,0.6451,0.85,0.8597,0.62633,1.56047,1.00729,1.30878,2.97024e-06,2.97024e-06,2.97024e-06
14,45.1639,0.93352,1.46861,1.4116,0.64243,0.85,0.86051,0.63509,1.5492,1.01372,1.30411,2.19674e-06,2.19674e-06,2.19674e-06
15,48.4102,1.17595,1.66066,1.32508,0.64885,0.85,0.8599,0.63655,1.53876,1.01723,1.30091,1.26616e-06,1.26616e-06,1.26616e-06
